id,id_company,fire,electrical_damage,theft,glass,common_water,private_water,common_aesthetic_damage,private_aesthetic_damage,water_damage_rc,leaks,unclogging,plumbing_without_damage,machinery_breakdown,pest_control,legal_defense,api,deductible,requires_appraisal,observations
1,1,100%           ,100%   ,100%           ,100%   ,1,0,3000,,1,✓                     ,1 al año máx 500€             ,,       ,1 al año  ,6000,1,250,1,"No atienden a perjudicados.Éstos deben dar parte a su seguro privado y luego reclamar al comunitario.. Incluye Rc Junta Rectora, cubre las tuberías vistas, subterráneas.                                        "
2,2,100%           ,100%   ,100%           ,100%   ,1,0,3000,,1,✓                     ,2 al año máx 500€             ,,       ,1 al año  ,6000,1,150,0,"Incluye Rc Junta Rectora, cubre tuberías vistas e incluye hasta 300€ en la reparación de tuberías corrosivas y presenta adelanto de cuotas                                                                       "
3,3,100%           ,30.000€,100%           ,5.000€ ,1,0,3000,,1,2 al año por portal   ,600€ siniestro y año          ,250,       ,1 al año  ,3000,0,,0,"Rc Junta Rectora, cubre tuberías vistas, hasta 300€ en caso de corrosión, exceso de consumo de agua.Dos filtraciones por portal. Reclamación de impagados.. Las tuberías exteriores subterráneas están EXCLUIDAS."
4,4,100%           ,100%   ,100%           ,100%   ,1,0,3000,,1,✓                     ,600€ siniestro y año          ,,       ,1 al año  ,3000,1,,0,"Incluye Rc Junta Rectora, cubre tuberías vistas e incluye hasta 300€ en la reparación de tuberías corrosivas y presenta adelanto de cuotas                                                                       "
5,5,100%           ,100%   ,100%           ,3.000€ ,1,0,3000,,1,✓                     ,500€ por siniestro 1000€ año  ,,       ,1 al año  ,6000,1,,0,"Incluye Rc Junta Rectora, cubre tuberías vistas e incluye hasta 300€ en la reparación de tuberías corrosivas y presenta adelanto de cuotas                                                                       "
6,6,100%           ,100%   ,100%           ,100%   ,1,0,3000,,1,✓                     ,600€ año por portal           ,500,10.000 ,1 al año  ,6100,1,120,0,"Incluye Rc junta rectora, cubre tuberías vistas y tuberías subterráneas.                                                                                                                                         "
7,7,100%           ,100%   ,100%           ,100%   ,1,0,3000,,1,No daños propios si RC,ilimitados 600€ por atasco    ,,       ,Ilimitados,6000,1,180,1,"Incluye Rc Junta Rectora, cubre tuberías vistas e incluye hasta 300€ en la reparación de tuberías corrosivas tiene tanto atascos ilimitados como control de plagas ilimitado y presenta adelanto de cuotas       "
8,8,100%           ,100%   ,100%           ,100%   ,1,0,6000,1800,1,✓                     ,600€ Siniestro y año          ,,       ,1 al año  ,4500,1,,0,"Incluye Rc Junta Rectora, hasta 300€ en caso de corrosión y exceso de consumo de agua.. No cubre tuberías subterráneas como riego o piscina.                                                                     "
9,9,100%           ,100%   ,100%           ,100%   ,1,0,3000,3000,1,✓                     ,600€ Siniestro y año          ,,       ,1 al año  ,6100,0,150,0,Incluye daños en buzones hasta 300€                                                                                                                                                                              
10,10,100%           ,100%   ,100%           ,100%   ,1,0,3000,3000,1,"100,000€              ",500€ Siniestro 1000€ año      ,,       ,1 al año  ,6000,1,,1,"Rc Junta Rectora, Exceso consumo de agua 2.000 € / Cubre tuberías vistas / Roturas privativas / Se cubre limpieza de grafitis                                                                                    "
11,11,100%           ,100%   ,100%           ,100%   ,1,0,6000,2000,1,✓                     ,1 al año/ max 1500€ por portal,750,       ,Ilimitados,6000,1,300,1,"Incluye Rc Junta Rectora, exceso de consumo de agua y adelanto de cuotas                                                                                                                                         "
12,12,100%           ,100%   ,100%           ,100%   ,1,0,3000,1500,1,500                   ,600€ Siniestro y año          ,,       ,1 al año  ,6000,1,,0,"Incluye Rc Junta Rectora, cubre tuberías vistas, tuberías subterráneas y exceso de consumo de agua                                                                                                               "
13,13,100%           ,100%   ,100%           ,100%   ,1,0,3000,3000,1,"100,000€              ",500€ Siniestro 1000€ año      ,,       ,1 al año  ,6000,1,,1,"Rc Junta Rectora, Exceso consumo de agua 2.000 € / Cubre tuberías vistas / Roturas privativas / Se cubre limpieza de grafitis                                                                                    "
14,14,100%           ,100%   ,100%           ,100%   ,1,0,1500,600,1,✓                     ,600€ Siniestro y año          ,,       ,1 al año  ,6000,1,,1,"Incluye Rc Junta Rectora, exceso de consumo de agua y adelanto de cuotas                                                                                                                                         "
15,15,100%           ,100%   ,100%           ,100%   ,1,0,3000,3000,1,✓                     ,Ilimitados 600€ siniestro     ,300,2500   ,1 al año  ,6000,1,200,0,"Rc Junta Rectora, cubre tuberías vistas, hasta 300€ en la reparación de tuberías corrosivas, exceso de consumo de agua y adelanto de cuotas.                                                                     "
16,16,100%           ,10%    ,10%            ,10%    ,1,0,3000,600,1,✓                     ,1 al año por portal al 100%   ,,       ,1 al año  ,5000,0,400,0,"Rc Junta Rectora, Desatasco no reembolsable, atendidos por la compañía / No tuberías subterráneas / Los daños eléctricos no cubren ascensores / Exceso de consumo de agua                                        "
17,17,100%           ,100%   ,100%           ,100%   ,1,0,3000,3000,1,✓                     ,500€ al año                   ,,       ,1 al año  ,6000,1,150,1,Incluimos ayuda a tuberías corrosivas. Incluye Rc Junta Rectora y tuberías subterráneas                                                                                                                          
